案发时间,案件类型,区域分布,点名次数,纬度,经度
201403,扒窃,丰台区右安门,1,39.860855,116.36552
201403,扒窃,西城区西单大街,1,39.914146,116.37316
201403,盗窃机动车,西城区展览路,1,39.932034,116.34452
201403,抢劫/抢夺,丰台区看丹,1,39.840984,116.28942
201403,撬砸汽车,朝阳区劲松,1,39.884216,116.458916
201403,撬砸汽车,东城区天坛,1,39.89247,116.44387
201403,撬砸汽车,丰台区科技园区,1,39.814003,116.29198
201403,入室盗窃,朝阳区十八里店,1,39.84223,116.484985
201403,入室盗窃,朝阳区小武基,2,39.86038,116.48931
201403,入室盗窃,东城区北新桥,1,39.94087,116.41682
201403,入室盗窃,东城区东直门,1,39.941296,116.42647
201403,入室盗窃,东城区天坛,1,39.89247,116.44387
201403,入室盗窃,丰台区樊家村,1,39.845154,116.31192
201403,入室盗窃,丰台区丰台镇,1,39.870472,116.28041
201403,入室盗窃,海淀区田村,1,39.93033,116.244995
201403,入室盗窃,海淀区西山,1,39.959286,116.23288
201403,入室盗窃,石景山区苹果园,1,39.90807,116.20131
201403,入室盗窃,西城区白纸坊,1,39.879333,116.359245
201403,入室盗窃,西城区广外,1,39.891296,116.33615
201403,诈骗,朝阳区和平街,1,39.9647,116.42
201403,诈骗,朝阳区潘家园,1,39.87745,116.44892
201403,诈骗,东城区东四,1,39.928555,116.418434
201403,诈骗,丰台区丰台镇,1,39.870472,116.28041
201403,诈骗,丰台区岳各庄,1,39.881096,116.273705
201403,诈骗,海淀区北太平庄,1,39.95355,116.36396
201403,诈骗,海淀区中关村,1,39.98643,116.337364
201403,诈骗,石景山区八宝山,1,39.906998,116.24176
201403,诈骗,西城区阜外大街,1,39.92339,116.34581
201403,诈骗,西城区月坛,1,39.915623,116.35329
201404,扒窃,朝阳区建国门,1,39.90841,116.43625
201404,扒窃,朝阳区南磨房,1,39.883575,116.478
201404,扒窃,朝阳区潘家园,2,39.87745,116.44892
201404,扒窃,朝阳区新源里,1,39.948402,116.44918
201404,扒窃,东城区东华门,1,39.917217,116.415665
